Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,SOURCE_DETAIL,Value
2016,A,0,SH_H2O_SAFE,748,,PT,"MICS 2021/22, CSO",59.0
2019,A,0,SH_H2O_SAFE,748,,PT,"MICS 2021/22, CSO",69.5
2021,A,0,SH_H2O_SAFE,748,,PT,"MICS 2021/22, CSO",75.6
2022,A,0,SH_H2O_SAFE,748,,PT,"MICS 2021/22, CSO",75.6
2025,A,0,SH_H2O_SAFE,748,,PT,"MICS 2021/22, CSO",81.2
2016,A,0,SH_H2O_SAFE,748,R,PT,"MICS 2021/22, CSO",49.0
2019,A,0,SH_H2O_SAFE,748,R,PT,"MICS 2021/22, CSO",61.0
2021,A,0,SH_H2O_SAFE,748,R,PT,"MICS 2021/22, CSO",67.4
2022,A,0,SH_H2O_SAFE,748,R,PT,"MICS 2021/22, CSO",67.4
2025,A,0,SH_H2O_SAFE,748,R,PT,"MICS 2021/22, CSO",76.5
2016,A,0,SH_H2O_SAFE,748,U,PT,"MICS 2021/22, CSO",88.0
2019,A,0,SH_H2O_SAFE,748,U,PT,"MICS 2021/22, CSO",95.0
2021,A,0,SH_H2O_SAFE,748,U,PT,"MICS 2021/22, CSO",92.5
2022,A,0,SH_H2O_SAFE,748,U,PT,"MICS 2021/22, CSO",92.5
2025,A,0,SH_H2O_SAFE,748,U,PT,"MICS 2021/22, CSO",95.9
